City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kavieng,PG,86.13,light rain,-2.57,150.8,Nusa Island Retreat
16,Itarema,BR,80.53,broken clouds,-2.92,-39.92,Windvillage
19,Hilo,US,84.2,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
30,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
33,Almeirim,BR,77.38,overcast clouds,-1.52,-52.58,Ricácio Hotel
37,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
39,Port Moresby,PG,82.4,light rain,-9.44,147.18,Lamana Hotel
40,Carnarvon,AU,82.4,clear sky,-24.87,113.63,Hospitality Carnarvon
43,Mataura,NZ,77.0,clear sky,-46.19,168.86,Ellie's Villa
46,Bengkulu,ID,82.54,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
49,Sao Filipe,CV,78.01,overcast clouds,14.9,-24.5,Tortuga B&B
52,Kapaa,US,80.6,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
53,Oistins,BB,80.6,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
58,Nhulunbuy,AU,89.6,few clouds,-12.23,136.77,East Arnhem Real Estate
67,Singaraja,ID,87.75,scattered clouds,-8.11,115.09,Puri Bagus Lovina Resort
68,Butaritari,KI,81.54,overcast clouds,3.07,172.79,Isles Sunset Lodge
73,Kloulklubed,PW,86.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
84,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
97,Atuona,PF,78.26,broken clouds,-9.8,-139.03,Villa Enata
100,Georgetown,MY,80.6,moderate rain,5.41,100.34,Cititel Penang
102,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
103,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
110,Clarence Town,AU,82.0,clear sky,-32.58,151.78,River Downs Cottage
114,Cabo San Lucas,MX,79.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
115,Namatanai,PG,87.1,light rain,-3.67,152.43,Namatanai Hotel
124,Miri,MY,84.2,few clouds,4.41,114.01,"Mega Hotel, Miri"
129,Saint George,US,77.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
132,Alyangula,AU,89.6,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
134,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
136,Limon,CR,76.5,overcast clouds,10.0,-83.03,Hotel Playa Bonita
137,Davila,PH,84.2,scattered clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
147,Cooma,AU,75.2,scattered clouds,-36.23,149.13,High Country Motel
148,Pontian Kecil,MY,75.2,moderate rain,1.48,103.39,SUNFLOWER EXPRESS HOTEL
159,Sola,VU,81.73,overcast clouds,-13.88,167.55,Ulkel Guest House
161,Umm Lajj,SA,75.85,clear sky,25.02,37.27,Moon light Furnished Units
165,Jibuti,DJ,77.0,haze,11.5,42.5,Orchid Main Camp Goubet
169,Kyaikkami,MM,80.47,scattered clouds,16.08,97.57,Happy Family Kyaikkami
171,Emerald,AU,84.99,scattered clouds,-23.53,148.17,The Irish Village
174,Isangel,VU,76.75,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
176,Port Macquarie,AU,79.0,clear sky,-31.43,152.92,Rydges Port Macquarie
178,Omboue,GA,76.42,light rain,-1.57,9.26,Hotel Olako
181,San Lorenzo,PY,80.6,clear sky,-25.33,-57.53,Ámbar Hotel
186,Tual,ID,81.77,light rain,-5.67,132.75,Grand Vilia Hotel
198,Hounde,BF,77.85,overcast clouds,11.5,-3.52,Carrefour où ouvriers dorment
205,Santa Isabel Do Rio Negro,BR,75.11,overcast clouds,-0.41,-65.02,Hotel GSA
210,Barahan,PH,84.65,light rain,13.01,120.76,Grand Creek Hotel and Resort
222,Ouargaye,BF,78.66,clear sky,11.5,0.06,Auberge Belle Etoile
228,Hithadhoo,MV,83.26,overcast clouds,-0.6,73.08,Scoop Guest House
230,Mindelo,CV,77.0,few clouds,16.89,-24.98,Hotel Gaudi
231,Aquiraz,BR,80.6,broken clouds,-3.9,-38.39,Hotel Laguna Blu
234,Karratha,AU,89.19,clear sky,-20.74,116.85,ibis Styles Karratha
238,Malindi,KE,77.81,light rain,-3.22,40.12,African House Resort
239,Ranau,MY,84.2,moderate rain,5.95,116.66,Ranau Backpackers Hostel
241,Biltine,TD,78.06,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
242,Angoche,MZ,75.54,clear sky,-16.23,39.91,Guest House HESADA
244,Barras,BR,76.21,very heavy rain,-4.24,-42.29,DIMAS HOTEL
245,Cururupu,BR,76.05,light rain,-1.83,-44.87,Pousada Través'cia
250,Lorengau,PG,85.55,light rain,-2.02,147.27,Lorengau Harbourside Hotel
251,Manadhoo,MV,81.99,few clouds,5.77,73.38,Vevu Guesthouse
260,Salcedo,PH,81.7,moderate rain,12.81,121.47,Red Palm Beach Resort
270,Salaga,GH,77.83,clear sky,8.55,-0.52,Maridon Lodge
273,Flinders,AU,78.01,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
275,Coahuayana,MX,77.0,few clouds,18.73,-103.68,Hotel Los Arcos
278,Biak,ID,82.98,heavy intensity rain,-0.91,122.88,Kost Ariz
280,Matara,LK,79.45,clear sky,5.95,80.54,Amaloh Boutique Resort
