City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Phan Thiet,VN,10.93,108.1,75.51,88,100,3.33,'overcast clouds'
1,Cape Town,ZA,-33.93,18.42,66.99,72,0,8.05,'clear sky'
2,Georgetown,MY,5.41,100.34,78.8,88,40,3.36,'scattered clouds'
3,Victoria,HK,22.29,114.16,75.0,71,90,7.49,'overcast clouds'
4,Hobart,AU,-42.88,147.33,64.0,72,75,9.17,'broken clouds'
5,Huichapan,MX,20.38,-99.65,71.6,28,5,26.4,'clear sky'
6,Puerto Gaitan,CO,4.31,-72.08,74.52,91,100,6.29,'overcast clouds'
7,Cap Malheureux,MU,-19.98,57.61,66.99,69,46,3.0,'scattered clouds'
8,New Norfolk,AU,-42.78,147.06,64.0,66,100,1.01,'overcast clouds'
9,Hilo,US,19.73,-155.09,84.2,62,90,6.93,'overcast clouds'
10,Port Hedland,AU,-20.32,118.57,75.2,78,90,8.05,'overcast clouds'
11,Joao Pinheiro,BR,-17.74,-46.17,70.16,89,16,5.1,'light rain'
12,Bredasdorp,ZA,-34.53,20.04,64.4,88,39,10.29,'scattered clouds'
13,Nikolskoye,RU,59.7,30.79,33.8,100,90,6.71,'overcast clouds'
14,Arraial Do Cabo,BR,-22.97,-42.03,71.6,64,75,14.99,'broken clouds'
15,Samana,DO,19.21,-69.34,84.2,79,40,9.4,'scattered clouds'
16,Hermanus,ZA,-34.42,19.23,64.99,82,6,10.0,'clear sky'
17,Abu Kamal,SY,34.45,40.92,72.77,21,65,11.41,'broken clouds'
18,Ushuaia,AR,-54.8,-68.3,59.0,54,75,18.34,'broken clouds'
19,Bluff,NZ,-46.6,168.33,53.01,73,93,11.99,'overcast clouds'
20,Qaanaaq,GL,77.48,-69.36,2.35,74,0,7.14,'clear sky'
21,Miyako,JP,39.64,141.95,57.58,81,100,7.96,'moderate rain'
22,Rikitea,PF,-23.12,-134.97,74.8,85,83,22.32,'light rain'
23,Rawson,AR,-43.3,-65.1,83.93,19,28,22.75,'scattered clouds'
24,Vaini,TO,-21.2,-175.2,78.8,78,20,12.75,'few clouds'
25,Kapaa,US,22.08,-159.32,82.4,74,1,5.82,'clear sky'
26,Barrow,US,71.29,-156.79,28.4,86,75,24.16,'mist'
27,Chokurdakh,RU,70.63,147.92,0.48,94,100,11.39,'light snow'
28,Ponta Do Sol,PT,32.67,-17.1,69.01,72,20,4.7,'few clouds'
29,Aklavik,CA,68.22,-135.01,10.4,85,99,2.24,'overcast clouds'
30,Rajapalaiyam,IN,9.45,77.57,78.49,73,74,1.52,'broken clouds'
31,Upernavik,GL,72.79,-56.15,16.48,92,96,4.34,'overcast clouds'
32,Dunedin,NZ,-45.87,170.5,55.99,58,100,17.0,'overcast clouds'
33,Kavieng,PG,-2.57,150.8,84.67,70,1,6.55,'clear sky'
34,Mocuba,MZ,-16.84,36.99,70.39,88,71,2.19,'broken clouds'
35,Gushikawa,JP,26.35,127.87,71.6,93,1,3.36,'clear sky'
36,Atuona,PF,-9.8,-139.03,77.54,79,60,14.45,'light rain'
37,Mataura,NZ,-46.19,168.86,53.01,74,75,10.0,'broken clouds'
38,Bridgton,US,44.05,-70.71,46.0,88,100,5.95,'moderate rain'
39,Busselton,AU,-33.65,115.33,57.99,77,83,5.53,'broken clouds'
40,Mar Del Plata,AR,-38.0,-57.56,62.6,63,0,11.41,'clear sky'
41,Beloha,MG,-25.17,45.05,66.72,80,7,16.53,'clear sky'
42,Berdigestyakh,RU,62.1,126.7,-6.48,91,91,3.42,'overcast clouds'
43,Pevek,RU,69.7,170.31,15.62,92,100,11.59,'overcast clouds'
44,Mangrol,IN,21.12,70.12,78.37,35,56,11.81,'broken clouds'
45,Luderitz,NA,-26.65,15.16,65.8,51,85,12.86,'overcast clouds'
46,Bridlington,GB,54.08,-0.19,64.4,77,100,24.16,'light rain'
47,Cidreira,BR,-30.18,-50.21,63.01,65,16,7.2,'few clouds'
48,Takoradi,GH,4.88,-1.76,78.66,89,100,8.21,'overcast clouds'
49,Wufeng,CN,27.45,104.83,40.32,93,100,3.85,'light rain'
50,Vardo,NO,70.37,31.11,41.0,86,75,28.86,'broken clouds'
51,Pangody,RU,65.85,74.49,28.0,97,87,17.58,'overcast clouds'
52,Lagoa,PT,39.05,-27.98,63.19,75,95,19.04,'overcast clouds'
53,Hualmay,PE,-11.1,-77.61,65.88,73,77,8.7,'broken clouds'
54,Johnson City,US,36.31,-82.35,59.0,33,40,16.11,'scattered clouds'
55,Filadelfia,US,39.95,-75.16,54.0,93,100,11.03,'overcast clouds'
56,Yaguajay,CU,22.33,-79.24,81.45,81,36,11.56,'scattered clouds'
57,San Luis,AR,-33.3,-66.34,79.66,18,2,6.78,'clear sky'
58,Saint-Augustin,CA,51.23,-58.65,37.42,80,86,23.6,'overcast clouds'
59,Sao Joao Da Barra,BR,-21.64,-41.05,71.6,73,75,19.46,'broken clouds'
60,Monzon,ES,41.91,0.19,60.01,76,0,6.93,'clear sky'
