City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Teguise,ES,2020-11-01 02:05:07,29.06,-13.56,73.4,46,0,9.17
1,Cape Town,ZA,2020-11-01 02:05:07,-33.93,18.42,59.0,54,0,11.41
2,Asau,RO,2020-11-01 02:05:07,46.43,26.4,46.4,81,69,20.8
3,Saskylakh,RU,2020-11-01 02:05:07,71.92,114.08,-6.43,86,14,8.25
4,Haapiti,PF,2020-11-01 02:05:08,-17.57,-149.87,80.6,69,40,10.29
5,Togur,RU,2020-11-01 02:05:08,58.36,82.83,33.66,92,100,11.18
6,Khatanga,RU,2020-11-01 02:05:08,71.97,102.5,-4.18,88,78,9.84
7,La Union,PE,2020-11-01 02:05:08,-5.4,-80.75,65.57,77,40,12.08
8,Burnie,AU,2020-11-01 02:05:06,-41.07,145.92,62.01,54,68,4.0
9,Acarau,BR,2020-11-01 02:03:55,-2.89,-40.12,78.78,85,38,12.95
10,Hobart,AU,2020-11-01 02:05:08,-42.88,147.33,66.99,71,75,8.05
11,Mataura,NZ,2020-11-01 02:05:08,-46.19,168.86,55.99,75,97,15.99
12,San Patricio,US,2020-11-01 02:05:08,28.02,-97.52,66.2,68,20,6.93
13,Vavuniya,LK,2020-11-01 02:05:08,8.75,80.5,78.67,73,93,2.48
14,Daru,PG,2020-11-01 02:05:08,-9.08,143.21,84.63,70,45,12.93
15,Punta Arenas,CL,2020-11-01 02:05:08,-53.15,-70.92,46.4,81,0,3.36
16,Butaritari,KI,2020-11-01 02:05:09,3.07,172.79,81.75,76,100,14.38
17,Alekseyevka,RU,2020-11-01 02:05:09,50.63,38.69,53.91,86,100,10.69
18,Castro,BR,2020-11-01 02:02:48,-24.79,-50.01,51.84,95,54,7.92
19,Cururupu,BR,2020-11-01 02:04:46,-1.83,-44.87,74.88,92,59,3.67
20,Norman Wells,CA,2020-11-01 02:05:09,65.28,-126.83,-4.0,83,20,2.24
21,Luz,BR,2020-11-01 02:05:09,-19.8,-45.69,67.51,74,100,6.33
22,Madimba,TZ,2020-11-01 02:05:09,-10.4,40.33,73.47,87,54,4.36
23,Saint-Philippe,RE,2020-11-01 02:05:09,-21.36,55.77,64.99,68,90,9.17
24,Riyadh,SA,2020-11-01 02:05:09,24.69,46.72,62.6,48,0,4.27
25,Upernavik,GL,2020-11-01 02:05:09,72.79,-56.15,16.29,95,100,12.75
26,Ushuaia,AR,2020-11-01 02:05:09,-54.8,-68.3,48.2,87,75,5.82
27,Lohja,FI,2020-11-01 02:05:10,60.25,24.07,46.0,96,65,5.01
28,Hilo,US,2020-11-01 02:05:10,19.73,-155.09,84.2,62,90,9.17
29,Jamestown,US,2020-11-01 02:05:10,42.1,-79.24,39.99,74,1,8.05
30,Yellowknife,CA,2020-11-01 02:05:10,62.46,-114.35,21.2,100,90,10.29
31,Cherskiy,RU,2020-11-01 02:05:10,68.75,161.3,12.29,90,100,2.91
32,Buique,BR,2020-11-01 02:05:10,-8.62,-37.16,68.72,87,36,7.65
33,Dikson,RU,2020-11-01 02:05:10,73.51,80.55,18.57,98,100,5.1
34,Pathein,MM,2020-11-01 02:05:10,16.78,94.73,79.83,88,61,7.29
35,Gat,IL,2020-11-01 02:05:10,31.61,34.76,72.0,100,91,1.99
36,Busselton,AU,2020-11-01 02:05:10,-33.65,115.33,57.0,92,100,3.38
37,Chiang Khong,TH,2020-11-01 02:05:10,20.26,100.4,75.2,100,75,1.19
38,Lorengau,PG,2020-11-01 02:05:11,-2.02,147.27,85.84,71,17,9.08
39,Vanimo,PG,2020-11-01 02:05:11,-2.67,141.3,84.36,75,100,6.64
40,Yuma,US,2020-11-01 02:05:01,32.73,-114.62,86.0,16,1,3.2
41,Cikupa,ID,2020-11-01 02:05:11,-6.24,106.51,90.0,78,20,10.29
42,Hermanus,ZA,2020-11-01 02:05:11,-34.42,19.23,57.0,81,0,5.99
43,Puerto Ayora,EC,2020-11-01 02:05:11,-0.74,-90.35,70.0,90,65,5.01
44,Ajdabiya,LY,2020-11-01 02:05:11,30.76,20.23,63.99,68,0,6.62
45,Vaini,TO,2020-11-01 02:05:11,-21.2,-175.2,80.6,74,75,13.87
46,Thinadhoo,MV,2020-11-01 02:05:11,0.53,72.93,83.35,71,98,6.4
47,Rivers,CA,2020-11-01 02:05:11,50.03,-100.24,24.8,68,20,23.04
48,Bathsheba,BB,2020-11-01 02:05:11,13.22,-59.52,78.8,88,75,11.41
49,Antsohihy,MG,2020-11-01 02:05:12,-14.88,47.99,69.48,60,23,7.11
50,Port Elizabeth,ZA,2020-11-01 02:03:08,-33.92,25.57,64.4,82,75,8.05
